net,length_um
stage8_inst.in4\[31\],266.04
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[31\],265.34
_07664_,265.235
_11826_,264.74
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[30\],264.38
_06379_,264.01
_07957_,264
_07178_,263.97
_07906_,263.52
_07766_,263.29
_07729_,262.34
stage8_inst.in2\[18\],261.96
_05030_,261.92
_09963_,261.5
_06964_,260.8
_06693_,260.24
_02944_,257.115
_05419_,256.97
_04797_,256.81
_10107_,256.48
_08246_,256.38
_02883_,255.98
_10607_,255.51
_04637_,255.24
_07685_,255.12
_04524_,254.32
_07726_,254.32
_04410_,253.46
_04850_,253.06
stage8_inst.in1\[1\],252.36
_12024_,252.12
_04514_,251.92
stage8_inst.in4\[6\],251.92
stage8_inst.in7\[1\],251.36
_06699_,251.355
_10613_,250.96
stage8_inst.in2\[21\],250.7
_08427_,250.39
_02832_,250.25
_10622_,249.9
stage8_inst.in4\[30\],249.86
_06131_,249.44
stage8_inst.in6\[19\],247.34
_06949_,246.9
_07516_,246.9
stage8_inst.in7\[0\],246.84
_04374_,246.7
_06950_,246.61
stage8_inst.in6\[21\],246.32
_03059_,245.08
_06690_,244.835
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[26\],244.55
_08337_,244.46
_07176_,243.94
_07671_,243.54
_02552_,243.04
net298,242.49
stage8_inst.in2\[23\],242.48
net317,242.27
_10415_,241.87
_09167_,241.38
_07772_,241.005
_09525_,240.96
_09993_,240.76
_07177_,239.795
_08222_,239.72
_06989_,239.63
_03959_,239.465
_10407_,239.14
_07958_,239.12
_02866_,238.72
_07028_,238.595
_07774_,238.36
_09535_,238.34
_03056_,238.08
stage8_inst.in2\[26\],237.94
_02543_,237.895
_10101_,237.735
_02836_,237.54
_10953_,237.2
_05256_,236.97
_04596_,236.8
_10154_,236.7
stage8_inst.in7\[2\],236.62
_02827_,236.52
stage8_inst.in7\[6\],236
_08631_,235.28
_07701_,235.24
_05040_,235.17
_07663_,235.14
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[30\],235.06
_02867_,234.6
_10041_,234.54
_07157_,234.18
_10616_,233.54
_08563_,233.34
stage8_inst.in6\[20\],233.14
_04329_,232.66
_04352_,232.46
_06993_,231.36
_04306_,230.24
_08969_,230.17
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[29\],230.14
_03960_,230.08
_10628_,229.74
_04339_,229.02
net438,228.8
stage8_inst.in2\[12\],228.76
_07166_,228.705
_06963_,228.44
stage8_inst.in0\[3\],226.82
_04399_,225.7
net177,225.16
_06686_,224.32
_07707_,224.22
_08739_,224.16
net94,224
net148,223.7
_08699_,223.57
_08882_,223.44
_08797_,223.34
_07158_,223.315
_10257_,223.16
_07000_,223.06
_08254_,223
_10414_,222.7
stage8_inst.in6\[22\],222.5
_08716_,222.2
_10029_,221.36
_06125_,221.12
_11988_,220.8
_07156_,220.3
_02816_,219.98
_11360_,219.31
stage8_inst.in7\[5\],218.535
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[28\],218.42
_03064_,218.36
_07918_,218.27
_07154_,218.195
_10373_,217.33
stage8_inst.in2\[13\],217.16
_06148_,216.9
_07768_,216.79
_06130_,216.56
_08935_,216.2
net459,216.17
_03580_,216.02
_10858_,216.02
_08519_,215.94
_04798_,215.62
_07759_,215.56
_04525_,215.24
_10612_,214.26
_10052_,214.24
_04423_,214
_10007_,213.82
_03978_,213.4
_06128_,213.39
stage8_inst.in0\[4\],213.26
_08208_,213.24
_04796_,212.06
_10014_,211.96
_10365_,210.1
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[0\],210.055
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.phase\[1\],209.58
_07034_,209.28
_02822_,208.97
_07966_,208.92
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[29\],208.84
_06685_,208.54
_06660_,207.97
_07755_,207.66
_03969_,207.42
_08198_,207.115
_02817_,206.62
stage8_inst.in2\[24\],206.3
_09521_,206.2
_05026_,206.11
stage8_inst.in6\[17\],206.02
_02364_,205.97
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[26\],205.84
_07667_,205.64
_03065_,205.58
_07711_,205.515
net456,205.28
_06127_,205.07
_11720_,204.88
_05533_,204.46
net242,204.13
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[27\],204.1
net384,203.68
stage8_inst.in6\[14\],203.64
_08523_,203.27
_04793_,203.06
stage8_inst.in6\[23\],203.06
_03994_,202.74
_11129_,202.72
_09527_,202.3
stage8_inst.in2\[14\],202.24
_07536_,202.175
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[31\],201.86
_07855_,201.58
_07721_,201.52
_10860_,201.35
_11987_,201.25
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.mul_done,201.15
_10516_,200.8
_07750_,200.69
_05035_,200.3
_10406_,200.29
_05023_,200.14
_08745_,200.14
_08451_,199.56
_09984_,199.49
stage8_inst.in4\[5\],199.32
_06955_,198.74
_05534_,198.645
stage8_inst.in7\[3\],198.5
stage8_inst.in7\[4\],197.74
_10605_,197.48
_08449_,197.36
net87,197.16
_08859_,196.54
_06691_,196.41
_08573_,196.2
_04831_,195.93
stage8_inst.in6\[27\],195.86
net333,195.63
_07159_,195.36
net290,195.31
_03998_,194.76
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[28\],194.76
_06796_,194.52
stage8_inst.in6\[28\],194.44
_07698_,194.315
_04865_,193.91
stage8_inst.in0\[29\],193.88
_03444_,193.84
_02861_,193.47
stage8_inst.in2\[15\],193.04
_04481_,192.94
_04619_,192.7
net210,192.63
_08429_,192.54
_07155_,192.495
net443,192.49
_04315_,191.94
